sample_id,version,mode,scorer,predicted,truth,cwe_predicted,cwe_truth,group
CVE-2026-10692,vuln,code,StructuralHeuristicScorer,benign,vulnerable,CWE-400,CWE-400,logic
CVE-2026-10692,vuln,code,ConfigSigScorer,abstain,vulnerable,CWE-400,CWE-400,logic
CVE-2026-10692,vuln,code,CPGEvidenceScorer,abstain,vulnerable,CWE-400,CWE-400,logic
CVE-2026-10692,vuln,code,APILLMScorer,vulnerable,vulnerable,CWE-400,CWE-400,logic
CVE-2026-10692,fixed,code,StructuralHeuristicScorer,benign,benign,CWE-400,CWE-400,logic
CVE-2026-10692,fixed,code,ConfigSigScorer,abstain,benign,CWE-400,CWE-400,logic
CVE-2026-10692,fixed,code,CPGEvidenceScorer,abstain,benign,CWE-400,CWE-400,logic
CVE-2026-10692,fixed,code,APILLMScorer,abstain,benign,CWE-400,CWE-400,logic
CVE-2026-12482,vuln,code,StructuralHeuristicScorer,vulnerable,vulnerable,CWE-022,CWE-022,taint
CVE-2026-12482,vuln,code,ConfigSigScorer,benign,vulnerable,CWE-022,CWE-022,taint
CVE-2026-12482,vuln,code,CPGEvidenceScorer,vulnerable,vulnerable,CWE-022,CWE-022,taint
CVE-2026-12482,vuln,code,APILLMScorer,vulnerable,vulnerable,CWE-022,CWE-022,taint
CVE-2026-12482,fixed,code,StructuralHeuristicScorer,vulnerable,benign,CWE-022,CWE-022,taint
CVE-2026-12482,fixed,code,ConfigSigScorer,benign,benign,CWE-022,CWE-022,taint
CVE-2026-12482,fixed,code,CPGEvidenceScorer,vulnerable,benign,CWE-022,CWE-022,taint
CVE-2026-12482,fixed,code,APILLMScorer,benign,benign,CWE-022,CWE-022,taint
CVE-2026-9335,vuln,code,StructuralHeuristicScorer,benign,vulnerable,CWE-022,CWE-022,taint
CVE-2026-9335,vuln,code,ConfigSigScorer,benign,vulnerable,CWE-022,CWE-022,taint
CVE-2026-9335,vuln,code,CPGEvidenceScorer,abstain,vulnerable,CWE-022,CWE-022,taint
CVE-2026-9335,vuln,code,APILLMScorer,benign,vulnerable,CWE-022,CWE-022,taint
CVE-2026-9335,fixed,code,StructuralHeuristicScorer,benign,benign,CWE-022,CWE-022,taint
CVE-2026-9335,fixed,code,ConfigSigScorer,benign,benign,CWE-022,CWE-022,taint
CVE-2026-9335,fixed,code,CPGEvidenceScorer,abstain,benign,CWE-022,CWE-022,taint
CVE-2026-9335,fixed,code,APILLMScorer,benign,benign,CWE-022,CWE-022,taint
CVE-2026-13769,vuln,code,StructuralHeuristicScorer,benign,vulnerable,CWE-732,CWE-732,logic
CVE-2026-13769,vuln,code,ConfigSigScorer,benign,vulnerable,CWE-732,CWE-732,logic
CVE-2026-13769,vuln,code,CPGEvidenceScorer,abstain,vulnerable,CWE-732,CWE-732,logic
CVE-2026-13769,vuln,code,APILLMScorer,vulnerable,vulnerable,CWE-732,CWE-732,logic
CVE-2026-13769,fixed,code,StructuralHeuristicScorer,benign,benign,CWE-732,CWE-732,logic
CVE-2026-13769,fixed,code,ConfigSigScorer,benign,benign,CWE-732,CWE-732,logic
CVE-2026-13769,fixed,code,CPGEvidenceScorer,abstain,benign,CWE-732,CWE-732,logic
CVE-2026-13769,fixed,code,APILLMScorer,benign,benign,CWE-732,CWE-732,logic
CVE-2026-16584,vuln,code,StructuralHeuristicScorer,benign,vulnerable,CWE-455,CWE-455,logic
CVE-2026-16584,vuln,code,ConfigSigScorer,benign,vulnerable,CWE-455,CWE-455,logic
CVE-2026-16584,vuln,code,CPGEvidenceScorer,abstain,vulnerable,CWE-455,CWE-455,logic
CVE-2026-16584,vuln,code,APILLMScorer,abstain,vulnerable,CWE-455,CWE-455,logic
CVE-2026-16584,fixed,code,StructuralHeuristicScorer,benign,benign,CWE-455,CWE-455,logic
CVE-2026-16584,fixed,code,ConfigSigScorer,benign,benign,CWE-455,CWE-455,logic
CVE-2026-16584,fixed,code,CPGEvidenceScorer,abstain,benign,CWE-455,CWE-455,logic
CVE-2026-16584,fixed,code,APILLMScorer,vulnerable,benign,CWE-455,CWE-455,logic
CVE-2026-16796,vuln,code,StructuralHeuristicScorer,benign,vulnerable,CWE-088,CWE-088,logic
CVE-2026-16796,vuln,code,ConfigSigScorer,benign,vulnerable,CWE-088,CWE-088,logic
