sample_id,version,mode,scorer,predicted,truth,cwe_predicted,cwe_truth,group
CVE-2026-50558,vuln,code,StructuralHeuristicScorer,benign,vulnerable,CWE-022,CWE-022,taint
CVE-2026-50558,vuln,code,CodeQLBaselineScorer,vulnerable,vulnerable,CWE-022,CWE-022,taint
CVE-2026-50558,vuln,code,ConfigSigScorer,benign,vulnerable,CWE-022,CWE-022,taint
CVE-2026-50558,vuln,code,CPGEvidenceScorer,benign,vulnerable,CWE-022,CWE-022,taint
CVE-2026-50558,vuln,code,LocalLLMScorer,abstain,vulnerable,CWE-022,CWE-022,taint
CVE-2026-50558,fixed,code,StructuralHeuristicScorer,benign,benign,CWE-022,CWE-022,taint
CVE-2026-50558,fixed,code,CodeQLBaselineScorer,vulnerable,benign,CWE-022,CWE-022,taint
CVE-2026-50558,fixed,code,ConfigSigScorer,benign,benign,CWE-022,CWE-022,taint
CVE-2026-50558,fixed,code,CPGEvidenceScorer,benign,benign,CWE-022,CWE-022,taint
CVE-2026-50558,fixed,code,LocalLLMScorer,abstain,benign,CWE-022,CWE-022,taint
CVE-2026-53502,vuln,code,StructuralHeuristicScorer,benign,vulnerable,CWE-022,CWE-022,taint
CVE-2026-53502,vuln,code,CodeQLBaselineScorer,benign,vulnerable,CWE-022,CWE-022,taint
CVE-2026-53502,vuln,code,ConfigSigScorer,benign,vulnerable,CWE-022,CWE-022,taint
CVE-2026-53502,vuln,code,CPGEvidenceScorer,benign,vulnerable,CWE-022,CWE-022,taint
CVE-2026-53502,vuln,code,LocalLLMScorer,abstain,vulnerable,CWE-022,CWE-022,taint
CVE-2026-53502,fixed,code,StructuralHeuristicScorer,benign,benign,CWE-022,CWE-022,taint
CVE-2026-53502,fixed,code,CodeQLBaselineScorer,benign,benign,CWE-022,CWE-022,taint
CVE-2026-53502,fixed,code,ConfigSigScorer,benign,benign,CWE-022,CWE-022,taint
CVE-2026-53502,fixed,code,CPGEvidenceScorer,benign,benign,CWE-022,CWE-022,taint
CVE-2026-53502,fixed,code,LocalLLMScorer,vulnerable,benign,CWE-022,CWE-022,taint
CVE-2026-53505,vuln,code,StructuralHeuristicScorer,benign,vulnerable,CWE-400,CWE-400,logic
CVE-2026-53505,vuln,code,CodeQLBaselineScorer,benign,vulnerable,CWE-400,CWE-400,logic
CVE-2026-53505,vuln,code,ConfigSigScorer,abstain,vulnerable,CWE-400,CWE-400,logic
CVE-2026-53505,vuln,code,CPGEvidenceScorer,benign,vulnerable,CWE-400,CWE-400,logic
CVE-2026-53505,vuln,code,LocalLLMScorer,abstain,vulnerable,CWE-400,CWE-400,logic
CVE-2026-53505,fixed,code,StructuralHeuristicScorer,benign,benign,CWE-400,CWE-400,logic
CVE-2026-53505,fixed,code,CodeQLBaselineScorer,benign,benign,CWE-400,CWE-400,logic
CVE-2026-53505,fixed,code,ConfigSigScorer,abstain,benign,CWE-400,CWE-400,logic
CVE-2026-53505,fixed,code,CPGEvidenceScorer,benign,benign,CWE-400,CWE-400,logic
