sample_id,version,mode,scorer,predicted,truth,cwe_predicted,cwe_truth,group
devign-qemu-2262,d2_devign,code,LocalLLMScorer,benign,benign,null,,qemu
devign-qemu-1212,d2_devign,code,LocalLLMScorer,benign,vulnerable,null,,qemu
devign-FFmpeg-749,d2_devign,code,LocalLLMScorer,abstain,benign,,,FFmpeg
devign-FFmpeg-2021,d2_devign,code,LocalLLMScorer,abstain,vulnerable,,,FFmpeg
devign-qemu-1104,d2_devign,code,LocalLLMScorer,abstain,benign,null,,qemu
devign-qemu-2243,d2_devign,code,LocalLLMScorer,abstain,vulnerable,null,,qemu
devign-qemu-1465,d2_devign,code,LocalLLMScorer,abstain,benign,,,qemu
devign-qemu-1373,d2_devign,code,LocalLLMScorer,abstain,benign,,,qemu
devign-FFmpeg-1226,d2_devign,code,LocalLLMScorer,benign,vulnerable,,,FFmpeg
devign-qemu-1169,d2_devign,code,LocalLLMScorer,abstain,benign,null,,qemu
devign-qemu-2001,d2_devign,code,LocalLLMScorer,abstain,benign,,,qemu
devign-qemu-858,d2_devign,code,LocalLLMScorer,abstain,vulnerable,null,,qemu
devign-FFmpeg-757,d2_devign,code,LocalLLMScorer,abstain,benign,,,FFmpeg
devign-qemu-2086,d2_devign,code,LocalLLMScorer,abstain,vulnerable,,,qemu
devign-FFmpeg-0,d2_devign,code,LocalLLMScorer,abstain,benign,,,FFmpeg
devign-FFmpeg-537,d2_devign,code,LocalLLMScorer,abstain,vulnerable,,,FFmpeg
devign-qemu-1353,d2_devign,code,LocalLLMScorer,abstain,vulnerable,null,,qemu
devign-qemu-1894,d2_devign,code,LocalLLMScorer,abstain,benign,,,qemu
devign-qemu-978,d2_devign,code,LocalLLMScorer,abstain,vulnerable,,,qemu
devign-qemu-2534,d2_devign,code,LocalLLMScorer,abstain,benign,,,qemu
devign-qemu-1291,d2_devign,code,LocalLLMScorer,abstain,vulnerable,,,qemu
devign-qemu-1539,d2_devign,code,LocalLLMScorer,vulnerable,benign,CWE-190,,qemu
devign-qemu-1824,d2_devign,code,LocalLLMScorer,benign,vulnerable,null,,qemu
devign-qemu-1403,d2_devign,code,LocalLLMScorer,abstain,vulnerable,,,qemu
devign-FFmpeg-1297,d2_devign,code,LocalLLMScorer,benign,vulnerable,,,FFmpeg
devign-FFmpeg-702,d2_devign,code,LocalLLMScorer,benign,benign,null,,FFmpeg
devign-FFmpeg-1121,d2_devign,code,LocalLLMScorer,abstain,benign,,,FFmpeg
devign-qemu-2250,d2_devign,code,LocalLLMScorer,abstain,vulnerable,null,,qemu
devign-FFmpeg-2161,d2_devign,code,LocalLLMScorer,abstain,benign,,,FFmpeg
devign-FFmpeg-523,d2_devign,code,LocalLLMScorer,abstain,vulnerable,,,FFmpeg
devign-qemu-2556,d2_devign,code,LocalLLMScorer,abstain,vulnerable,null,,qemu
devign-qemu-2210,d2_devign,code,LocalLLMScorer,abstain,benign,,,qemu
devign-FFmpeg-1114,d2_devign,code,LocalLLMScorer,abstain,vulnerable,,,FFmpeg
devign-qemu-828,d2_devign,code,LocalLLMScorer,abstain,vulnerable,,,qemu
devign-qemu-490,d2_devign,code,LocalLLMScorer,abstain,vulnerable,,,qemu
devign-qemu-2187,d2_devign,code,LocalLLMScorer,abstain,benign,,,qemu
devign-qemu-932,d2_devign,code,LocalLLMScorer,abstain,benign,null,,qemu
devign-qemu-458,d2_devign,code,LocalLLMScorer,benign,benign,null,,qemu
devign-qemu-466,d2_devign,code,LocalLLMScorer,benign,benign,,,qemu
devign-qemu-1542,d2_devign,code,LocalLLMScorer,abstain,vulnerable,,,qemu
devign-FFmpeg-837,d2_devign,code,LocalLLMScorer,abstain,benign,,,FFmpeg
devign-FFmpeg-2316,d2_devign,code,LocalLLMScorer,abstain,vulnerable,null,,FFmpeg
devign-qemu-1299,d2_devign,code,LocalLLMScorer,abstain,vulnerable,null,,qemu
devign-FFmpeg-2112,d2_devign,code,LocalLLMScorer,abstain,vulnerable,,,FFmpeg
devign-qemu-1797,d2_devign,code,LocalLLMScorer,abstain,benign,,,qemu
devign-FFmpeg-1225,d2_devign,code,LocalLLMScorer,abstain,vulnerable,,,FFmpeg
devign-qemu-2529,d2_devign,code,LocalLLMScorer,abstain,vulnerable,null,,qemu
devign-qemu-1001,d2_devign,code,LocalLLMScorer,abstain,vulnerable,null,,qemu
devign-FFmpeg-1101,d2_devign,code,LocalLLMScorer,abstain,benign,,,FFmpeg
devign-qemu-796,d2_devign,code,LocalLLMScorer,benign,benign,null,,qemu
devign-qemu-2397,d2_devign,code,LocalLLMScorer,abstain,benign,,,qemu
devign-qemu-2459,d2_devign,code,LocalLLMScorer,abstain,benign,null,,qemu
devign-qemu-810,d2_devign,code,LocalLLMScorer,abstain,benign,,,qemu
devign-FFmpeg-310,d2_devign,code,LocalLLMScorer,abstain,benign,,,FFmpeg
devign-qemu-1095,d2_devign,code,LocalLLMScorer,abstain,benign,null,,qemu
devign-FFmpeg-2351,d2_devign,code,LocalLLMScorer,abstain,vulnerable,,,FFmpeg
devign-qemu-1989,d2_devign,code,LocalLLMScorer,abstain,benign,,,qemu
