sample_id,version,mode,scorer,predicted,truth,cwe_predicted,cwe_truth,group
CVE-2026-55618,vuln,code,StructuralHeuristicScorer,benign,vulnerable,CWE-116,CWE-116,logic
CVE-2026-55618,vuln,code,ConfigSigScorer,benign,vulnerable,CWE-116,CWE-116,logic
CVE-2026-55618,vuln,code,CPGEvidenceScorer,abstain,vulnerable,CWE-116,CWE-116,logic
CVE-2026-55618,vuln,code,APILLMScorer,benign,vulnerable,CWE-116,CWE-116,logic
CVE-2026-55618,fixed,code,StructuralHeuristicScorer,benign,benign,CWE-116,CWE-116,logic
CVE-2026-55618,fixed,code,ConfigSigScorer,benign,benign,CWE-116,CWE-116,logic
CVE-2026-55618,fixed,code,CPGEvidenceScorer,abstain,benign,CWE-116,CWE-116,logic
CVE-2026-55618,fixed,code,APILLMScorer,abstain,benign,CWE-116,CWE-116,logic
CVE-2026-57516,vuln,code,StructuralHeuristicScorer,benign,vulnerable,CWE-094,CWE-094,taint
CVE-2026-57516,vuln,code,ConfigSigScorer,benign,vulnerable,CWE-094,CWE-094,taint
CVE-2026-57516,vuln,code,CPGEvidenceScorer,abstain,vulnerable,CWE-094,CWE-094,taint
CVE-2026-57516,vuln,code,APILLMScorer,abstain,vulnerable,CWE-094,CWE-094,taint
CVE-2026-57516,fixed,code,StructuralHeuristicScorer,benign,benign,CWE-094,CWE-094,taint
CVE-2026-57516,fixed,code,ConfigSigScorer,benign,benign,CWE-094,CWE-094,taint
CVE-2026-57516,fixed,code,CPGEvidenceScorer,abstain,benign,CWE-094,CWE-094,taint
CVE-2026-57516,fixed,code,APILLMScorer,benign,benign,CWE-094,CWE-094,taint
CVE-2026-59215,vuln,code,StructuralHeuristicScorer,benign,vulnerable,CWE-639,CWE-639,logic
CVE-2026-59215,vuln,code,ConfigSigScorer,abstain,vulnerable,CWE-639,CWE-639,logic
CVE-2026-59215,vuln,code,CPGEvidenceScorer,abstain,vulnerable,CWE-639,CWE-639,logic
CVE-2026-59215,vuln,code,APILLMScorer,abstain,vulnerable,CWE-639,CWE-639,logic
CVE-2026-59215,fixed,code,StructuralHeuristicScorer,benign,benign,CWE-639,CWE-639,logic
CVE-2026-59215,fixed,code,ConfigSigScorer,abstain,benign,CWE-639,CWE-639,logic
CVE-2026-59215,fixed,code,CPGEvidenceScorer,abstain,benign,CWE-639,CWE-639,logic
CVE-2026-59215,fixed,code,APILLMScorer,abstain,benign,CWE-639,CWE-639,logic
CVE-2026-70483,vuln,code,StructuralHeuristicScorer,benign,vulnerable,CWE-862,CWE-862,logic
CVE-2026-70483,vuln,code,ConfigSigScorer,abstain,vulnerable,CWE-862,CWE-862,logic
CVE-2026-70483,vuln,code,CPGEvidenceScorer,abstain,vulnerable,CWE-862,CWE-862,logic
CVE-2026-70483,vuln,code,APILLMScorer,abstain,vulnerable,CWE-862,CWE-862,logic
CVE-2026-70483,fixed,code,StructuralHeuristicScorer,benign,benign,CWE-862,CWE-862,logic
CVE-2026-70483,fixed,code,ConfigSigScorer,abstain,benign,CWE-862,CWE-862,logic
CVE-2026-70483,fixed,code,CPGEvidenceScorer,abstain,benign,CWE-862,CWE-862,logic
CVE-2026-70483,fixed,code,APILLMScorer,abstain,benign,CWE-862,CWE-862,logic
CVE-2026-70487,vuln,code,StructuralHeuristicScorer,benign,vulnerable,CWE-862,CWE-862,logic
CVE-2026-70487,vuln,code,ConfigSigScorer,abstain,vulnerable,CWE-862,CWE-862,logic
CVE-2026-70487,vuln,code,CPGEvidenceScorer,abstain,vulnerable,CWE-862,CWE-862,logic
CVE-2026-70487,vuln,code,APILLMScorer,abstain,vulnerable,CWE-862,CWE-862,logic
CVE-2026-70487,fixed,code,StructuralHeuristicScorer,benign,benign,CWE-862,CWE-862,logic
CVE-2026-70487,fixed,code,ConfigSigScorer,abstain,benign,CWE-862,CWE-862,logic
CVE-2026-70487,fixed,code,CPGEvidenceScorer,abstain,benign,CWE-862,CWE-862,logic
CVE-2026-70487,fixed,code,APILLMScorer,abstain,benign,CWE-862,CWE-862,logic
CVE-2026-70488,vuln,code,StructuralHeuristicScorer,benign,vulnerable,CWE-639,CWE-639,logic
CVE-2026-70488,vuln,code,ConfigSigScorer,abstain,vulnerable,CWE-639,CWE-639,logic
CVE-2026-70488,vuln,code,CPGEvidenceScorer,abstain,vulnerable,CWE-639,CWE-639,logic
CVE-2026-70488,vuln,code,APILLMScorer,abstain,vulnerable,CWE-639,CWE-639,logic
CVE-2026-70488,fixed,code,StructuralHeuristicScorer,benign,benign,CWE-639,CWE-639,logic
CVE-2026-70488,fixed,code,ConfigSigScorer,abstain,benign,CWE-639,CWE-639,logic
CVE-2026-70488,fixed,code,CPGEvidenceScorer,abstain,benign,CWE-639,CWE-639,logic
CVE-2026-70488,fixed,code,APILLMScorer,abstain,benign,CWE-639,CWE-639,logic
